frame,player1_x,player1_y,player2_x,player2_y,ball_x,ball_y
233,356.05010986328125,297.8970947265625,431.34112548828125,1985.743896484375,,
234,354.6371154785156,270.41986083984375,430.58746337890625,1985.75830078125,,
235,351.83233642578125,291.16162109375,429.8337707519531,1985.772705078125,,
236,349.0333251953125,298.0697021484375,430.58746337890625,1985.75830078125,,
237,344.73968505859375,270.66424560546875,431.34112548828125,1985.743896484375,,
238,343.3731384277344,284.5051574707031,431.34112548828125,1985.743896484375,,
239,342.0428466796875,305.0551452636719,432.0948181152344,1985.7294921875,,
240,339.3036804199219,318.6731872558594,432.0183410644531,1987.696533203125,,
241,336.5489501953125,325.4783020019531,432.0183410644531,1987.696533203125,,
242,332.4143371582031,332.2920837402344,431.34112548828125,1985.743896484375,,
243,329.634033203125,332.36016845703125,430.58746337890625,1985.75830078125,,
244,322.8063049316406,345.8774719238281,429.080078125,1985.787109375,,
245,314.42022705078125,339.41998291015625,429.080078125,1985.787109375,,
246,307.2127990722656,319.4604797363281,429.080078125,1985.787109375,,
247,301.7333068847656,326.3316955566406,428.25372314453125,1987.7684326171875,,
248,298.7359313964844,312.9066162109375,427.50079345703125,1987.7828369140625,,
249,295.8286437988281,306.19097900390625,425.2420654296875,1987.8260498046875,,
250,292.9105224609375,299.4503173828125,422.9833679199219,1987.8692626953125,,
251,288.5760803222656,292.7191162109375,420.7247009277344,1987.912353515625,,
252,284.090576171875,279.07684326171875,418.4660949707031,1987.95556640625,,
253,280.9872131347656,265.2969055175781,417.0216979980469,1986.017822265625,,
254,274.5226745605469,293.06512451171875,414.7608642578125,1986.06103515625,,
255,269.22674560546875,306.84478759765625,413.3113098144531,1984.119384765625,,
256,268.1546325683594,320.4187316894531,411.7464294433594,1986.11865234375,,
257,265.700927734375,333.9259033203125,410.1847229003906,1988.1138916015625,,
258,260.14276123046875,334.0620422363281,409.37823486328125,1990.0906982421875,,
259,250.41648864746094,334.30023193359375,408.5206604003906,1994.0181884765625,,
260,244.85888671875,334.43634033203125,406.9174499511719,1997.9442138671875,,
261,242.08016967773438,334.50439453125,406.1182556152344,1999.9013671875,,
262,239.30149841308594,334.57244873046875,405.3206481933594,2001.8546142578125,,
263,236.5228729248047,334.6405029296875,403.77783203125,2003.818115234375,,
264,233.74429321289062,334.7085266113281,403.0310363769531,2003.8323974609375,,
265,229.57652282714844,334.81060791015625,402.28424072265625,2003.8466796875,,
266,227.2330780029297,307.87689208984375,402.28424072265625,2003.8466796875,,
267,222.13449096679688,321.54779052734375,401.5374450683594,2003.86083984375,,
268,216.8160400390625,328.4131774902344,400.7906799316406,2003.8751220703125,,
269,215.77496337890625,301.34783935546875,400.7906799316406,2003.8751220703125,,
270,208.19171142578125,321.8898620605469,400.83538818359375,2001.940185546875,,
271,203.18328857421875,335.4570007324219,400.83538818359375,2001.940185546875,,
272,196.2384490966797,335.6270751953125,400.9251403808594,1998.05859375,,
273,189.29393005371094,335.7971496582031,400.9701232910156,1996.112060546875,,
274,183.738525390625,335.9331970214844,400.39825439453125,1988.301025390625,,
275,180.96090698242188,336.001220703125,398.52484130859375,1970.505859375,,
276,178.18333435058594,336.0692443847656,396.5339660644531,1956.4490966796875,,
277,172.6283416748047,336.2052917480469,395.9732360839844,1946.268310546875,,
278,174.01705932617188,336.1712646484375,395.32550048828125,1940.115478515625,,
279,171.2396240234375,336.2392883300781,394.5939636230469,1938.0660400390625,,
280,169.5054168701172,329.5728454589844,393.86090087890625,1936.0123291015625,,
281,166.72288513183594,329.64105224609375,393.0879821777344,1936.0272216796875,,
282,164.9770965576172,322.9500732421875,392.277587890625,1938.1107177734375,,
283,162.14134216308594,295.8321838378906,390.6975402832031,1940.2047119140625,,
284,157.9286346435547,295.9359130859375,390.66180419921875,1942.2646484375,,
285,151.29122924804688,302.93414306640625,389.8564147949219,1944.335205078125,,
286,144.67889404296875,309.9058837890625,389.05267333984375,1946.4014892578125,,
287,139.08360290527344,310.0434265136719,388.7163391113281,1966.6873779296875,,
288,134.88726806640625,310.14654541015625,388.4849548339844,1980.64404296875,,
289,131.1107635498047,317.0227966308594,388.3216857910156,1990.4931640625,,
290,132.5068817138672,316.9884948730469,388.2892150878906,1992.451171875,,
291,129.71466064453125,317.05706787109375,387.5379943847656,1992.465576171875,,
292,126.60924530029297,289.8471374511719,387.5379943847656,1992.465576171875,,
293,125.63504791259766,296.7310485839844,387.5697021484375,1990.507568359375,,
294,123.89579772949219,269.1788635253906,388.35418701171875,1988.53125,,
295,123.3594970703125,283.0415344238281,386.8487548828125,1988.56005859375,,
296,124.23113250732422,296.765625,386.8798522949219,1986.59423828125,,
297,124.66450500488281,303.5891418457031,386.1263732910156,1986.608642578125,,
298,126.0657958984375,303.5546569824219,382.35906982421875,1986.6806640625,,
299,128.3185577392578,317.0913391113281,377.8604736328125,1984.797607421875,,
300,129.29232788085938,310.2840576171875,374.84375,1984.8553466796875,,
301,129.29232788085938,310.2840576171875,371.07293701171875,1984.927490234375,,
302,128.5686798095703,276.00128173828125,367.3136901855469,1983.0263671875,,
303,128.0158233642578,289.8124694824219,364.29412841796875,1983.0841064453125,,
304,129.8468780517578,296.6273498535156,361.274658203125,1983.1419677734375,,
305,130.26974487304688,303.4512634277344,359.0446472167969,1961.216796875,,
306,130.26974487304688,303.4512634277344,356.7530517578125,1965.29150390625,,
307,132.0897674560547,310.2153015136719,355.23309326171875,1975.325927734375,,
308,130.6910400390625,310.24969482421875,352.97137451171875,1983.30078125,,
309,130.6910400390625,310.24969482421875,350.72259521484375,1989.250732421875,,
310,131.1107635498047,317.0227966308594,346.9868469238281,1995.1934814453125,,
311,133.9030303955078,316.9542236328125,344.0215759277344,2001.086181640625,,
312,136.69532775878906,316.8856506347656,343.29876708984375,2004.9713134765625,,
313,140.48240661621094,310.009033203125,341.8477783203125,2010.7772216796875,,
314,144.28375244140625,303.10650634765625,340.20318603515625,1991.412841796875,,
315,147.08670043945312,303.0375671386719,338.81976318359375,2005.0567626953125,,
316,148.48818969726562,303.0030822753906,335.9135437011719,2012.80859375,,
317,149.50357055664062,296.1433410644531,333.7489929199219,2018.5821533203125,,
318,150.90771484375,296.1087951660156,330.8581848144531,2024.3355712890625,,
319,152.8365478515625,254.5078582763672,327.9570007324219,2028.1708984375,,
320,156.0557098388672,261.4193420410156,325.7738037109375,2030.0968017578125,,
321,155.5780487060547,226.20797729492188,324.3310852050781,2032.0050048828125,,
322,157.682861328125,211.87709045410156,322.8587951660156,2032.032958984375,,
323,160.92984008789062,218.9492950439453,321.3865051269531,2032.0609130859375,,
324,164.1644744873047,225.99462890625,320.6503601074219,2032.074951171875,,
325,167.73899841308594,211.6267547607422,319.9495544433594,2033.96533203125,,
326,171.6957244873047,204.3474578857422,317.74334716796875,2034.0072021484375,,
327,174.22555541992188,197.07591247558594,316.9697265625,2032.144775390625,,
328,178.2102508544922,189.74009704589844,314.7613830566406,2032.1866455078125,,
329,181.10037231445312,189.66795349121094,312.5530700683594,2032.2286376953125,,
330,186.41639709472656,211.1617889404297,311.8169860839844,2032.2425537109375,,
331,189.2900390625,211.09024047851562,311.08087158203125,2032.256591796875,,
332,191.53330993652344,196.64422607421875,309.5632019042969,2030.4046630859375,,
333,192.1637420654297,211.01870727539062,308.8263854980469,2030.418701171875,,
334,197.68809509277344,239.33331298828125,307.352783203125,2030.4466552734375,,
335,201.42210388183594,260.2972717285156,304.4056091308594,2030.5025634765625,,
336,204.24081420898438,224.99879455566406,304.4056091308594,2030.5025634765625,,
337,207.4004364013672,196.2484893798828,303.6688537597656,2030.5166015625,,
338,210.8905487060547,174.36573791503906,303.6688537597656,2030.5166015625,,
339,213.79249572753906,174.2931671142578,303.6688537597656,2030.5166015625,,
340,218.41177368164062,181.47113037109375,302.93206787109375,2030.530517578125,,
341,221.04759216308594,174.1116943359375,302.93206787109375,2030.530517578125,,
342,223.43666076660156,159.3795928955078,303.72015380859375,2032.396240234375,,
343,224.3820037841797,144.56893920898438,303.87347412109375,2038.0133056640625,,
344,228.76930236816406,144.4587860107422,303.92437744140625,2039.8782958984375,,
345,231.69424438476562,144.38534545898438,304.0259094238281,2043.597412109375,,
346,234.8555145263672,151.71412658691406,303.3966979980469,2047.3157958984375,,
347,239.2345733642578,151.60427856445312,302.76995849609375,2051.019775390625,,
348,242.3751678466797,158.90501403808594,302.87310791015625,2054.695556640625,,
349,246.7459259033203,158.7954864501953,300.7442626953125,2056.5693359375,,
350,251.7244873046875,180.63870239257812,299.2907409667969,2056.596923828125,,
351,254.4254150390625,173.27685546875,297.89349365234375,2058.453125,,
352,257.1368713378906,165.8863067626953,296.44140625,2058.480712890625,,
353,260.0453186035156,165.81349182128906,295.7153625488281,2058.494384765625,,
354,264.2301940917969,158.35733032226562,294.2633056640625,2058.521728515625,,
355,268.6015625,158.24778747558594,294.3229675292969,2060.346923828125,,
356,271.5158996582031,158.1747589111328,293.5976257324219,2060.36083984375,,
357,275.8874816894531,158.06520080566406,292.9332580566406,2062.196044921875,,
358,278.80194091796875,157.99217224121094,292.9332580566406,2062.196044921875,,
359,283.1737060546875,157.8826141357422,292.9332580566406,2062.196044921875,,
360,287.5456237792969,157.77305603027344,292.9332580566406,2062.196044921875,,
361,289.77459716796875,201.40518188476562,292.9332580566406,2062.196044921875,,
362,295.6526794433594,208.4423828125,292.9332580566406,2062.196044921875,,
363,299.181396484375,250.88482666015625,292.9332580566406,2062.196044921875,,
364,305.2518615722656,278.55487060546875,292.9332580566406,2062.196044921875,,
365,311.0642395019531,292.1654052734375,292.9332580566406,2062.196044921875,,
366,316.3154296875,257.4554748535156,293.65789794921875,2062.182373046875,,
367,320.3705139160156,236.29049682617188,294.38250732421875,2062.168701171875,,
368,324.4119567871094,207.7264404296875,295.77362060546875,2060.319580078125,,
369,328.6215515136719,193.22506713867188,297.22430419921875,2060.292236328125,,
370,330.31182861328125,228.9685516357422,298.67498779296875,2060.264892578125,,
371,333.17169189453125,228.89756774902344,300.12567138671875,2060.2373046875,,
372,336.0316162109375,228.82656860351562,303.80291748046875,2061.99072265625,,
373,340.2917785644531,221.6181640625,306.7016296386719,2061.93603515625,,
374,344.5683898925781,214.3819580078125,308.8757019042969,2061.89501953125,,
375,348.87506103515625,214.27484130859375,309.6451416015625,2063.699951171875,,
376,353.17657470703125,207.01034545898438,311.1363830566406,2065.48779296875,,
377,358.9301452636719,206.86712646484375,311.1795654296875,2067.29931640625,,
378,364.6839294433594,206.723876953125,311.22265625,2069.107421875,,
379,370.4658203125,199.39451599121094,311.2656555175781,2070.912109375,,
380,379.1584777832031,191.96461486816406,312.7080993652344,2070.884765625,,
381,384.87939453125,199.03536987304688,311.98687744140625,2070.8984375,,
382,393.099365234375,241.53656005859375,311.2656555175781,2070.912109375,,
383,393.099365234375,241.53656005859375,311.2656555175781,2070.912109375,,
384,393.099365234375,241.53656005859375,311.9445495605469,2069.09375,,
385,393.099365234375,241.53656005859375,312.6664733886719,2069.080078125,,
386,393.099365234375,241.53656005859375,314.7529602050781,2065.41943359375,,
387,393.099365234375,241.53656005859375,316.1612243652344,2063.576904296875,,
388,393.099365234375,241.53656005859375,316.122802734375,2061.75830078125,,
389,393.099365234375,241.53656005859375,316.122802734375,2061.75830078125,,
390,445.01708984375,153.826904296875,311.9895324707031,2039.725341796875,,
391,449.21209716796875,161.0775604248047,308.6405029296875,2022.8621826171875,,
392,454.84423828125,168.2639923095703,306.9193115234375,2013.3607177734375,,
393,458.8053283691406,182.735107421875,305.2314758300781,2005.6971435546875,,
394,462.5380859375,253.83880615234375,304.3825378417969,2001.842529296875,,
395,465.144287109375,308.8203430175781,304.3310546875,1999.9022216796875,,
396,468.5016784667969,335.64984130859375,302.62451171875,1964.317626953125,,
397,472.2373962402344,348.86566162109375,302.62451171875,1964.317626953125,,
398,476.1667785644531,355.3866271972656,302.62451171875,1964.317626953125,,
399,478.9292297363281,355.3192138671875,302.62451171875,1964.317626953125,,
