frame,p1_x_mog2,p1_y_mog2,p2_x_mog2,p2_y_mog2,ball_x_mog2,ball_y_mog2,p1_x_yolo,p1_y_yolo,p2_x_yolo,p2_y_yolo,ball_x_yolo,ball_y_yolo
130,438.139892578125,446.4471740722656,97.99979400634766,1846.4068603515625,336.24871826171875,731.4907836914062,430.3301696777344,434.0379943847656,100.94003295898438,1837.2335205078125,,
131,438.139892578125,446.4471740722656,99.08495330810547,1848.6522216796875,342.4759826660156,741.91357421875,427.7576904296875,427.7673645019531,101.75164031982422,1837.217529296875,344.9590759277344,747.1137084960938
132,436.93914794921875,440.1885681152344,99.08495330810547,1848.6522216796875,344.9590759277344,747.1137084960938,427.7576904296875,427.7673645019531,101.75164031982422,1837.217529296875,352.34832763671875,752.1832275390625
133,436.7937316894531,446.4796142578125,100.69940185546875,1848.62060546875,349.88128662109375,746.9998168945312,427.7576904296875,427.7673645019531,103.10095977783203,1834.899658203125,,
134,438.5850524902344,427.505615234375,102.31387329101562,1848.5889892578125,364.6632385253906,741.3997192382812,427.6282653808594,434.103271484375,104.72596740722656,1834.8677978515625,365.87957763671875,746.6295166015625
135,430.19635009765625,440.3512878417969,103.1211166381836,1848.5732421875,373.29248046875,741.1998291015625,426.404296875,427.8000793457031,104.4532241821289,1832.5767822265625,373.23553466796875,751.7001342773438
136,424.6786804199219,446.771728515625,104.46463775634766,1846.2801513671875,381.92218017578125,740.9999389648438,424.9264221191406,434.16851806640625,105.26661682128906,1832.5609130859375,,
137,428.4565124511719,459.18792724609375,105.27276611328125,1846.264404296875,379.73052978515625,703.7533569335938,424.9264221191406,434.16851806640625,107.16352081298828,1834.8199462890625,381.01947021484375,698.3240966796875
138,434.3830871582031,433.94012451171875,106.08089447021484,1846.24853515625,381.0613708496094,692.9058837890625,423.57550048828125,434.2011413574219,107.97604370117188,1834.803955078125,386.474853515625,648.7810668945312
139,435.8781433105469,427.571044921875,107.69715881347656,1846.216796875,386.2185974121094,676.424560546875,423.57550048828125,434.2011413574219,109.86798858642578,1837.0582275390625,392.0370178222656,603.4442138671875
140,440.1044006347656,362.8585510253906,108.77192687988281,1848.4625244140625,396.1705017089844,580.2748413085938,422.1053771972656,440.5465393066406,110.945068359375,1839.323486328125,,
141,441.0431213378906,322.91693115234375,111.45720672607422,1850.6717529296875,399.1329650878906,550.9126586914062,420.64056396484375,446.8691101074219,114.99903106689453,1839.2440185546875,,
142,433.111328125,302.81689453125,112.525634765625,1852.9078369140625,402.1475524902344,521.0340576171875,419.1809997558594,453.1689453125,117.94659423828125,1843.7442626953125,,
143,427.63958740234375,296.1360168457031,113.5917739868164,1855.13916015625,406.5448303222656,490.5934753417969,419.0678405761719,459.4139404296875,124.11087799072266,1848.1619873046875,,
144,423.55413818359375,289.39569091796875,122.80107116699219,1843.649169921875,,,417.83740234375,453.2013244628906,130.24887084960938,1852.5609130859375,,
145,420.6195373535156,296.3087158203125,129.3489532470703,1836.6759033203125,,,417.83740234375,453.2013244628906,136.02871704101562,1861.427978515625,,
146,417.6959533691406,303.1957702636719,132.62767028808594,1789.8153076171875,,,416.4938049316406,453.23370361328125,141.1895751953125,1872.445068359375,,
147,420.378173828125,309.91961669921875,134.41700744628906,1758.2332763671875,,,415.0443115234375,459.5107727050781,142.66896057128906,1879.0302734375,,
148,420.378173828125,309.91961669921875,136.20201110839844,1750.786376953125,,,415.0443115234375,459.5107727050781,145.0552978515625,1878.9837646484375,,
149,420.378173828125,309.91961669921875,141.6358642578125,1780.0274658203125,,,415.0443115234375,459.5107727050781,146.64620971679688,1878.9527587890625,,
150,420.378173828125,309.91961669921875,139.09214782714844,1745.7598876953125,,,415.0443115234375,459.5107727050781,148.23715209960938,1878.9217529296875,,
151,420.378173828125,309.91961669921875,138.21658325195312,1728.20751953125,,,415.1502380371094,453.26605224609375,148.23715209960938,1878.9217529296875,,
152,420.378173828125,309.91961669921875,140.6494903564453,1717.9925537109375,,,413.8066711425781,453.2984313964844,149.16954040527344,1872.289306640625,,
153,420.378173828125,309.91961669921875,147.3760528564453,1770.218017578125,,,415.1502380371094,453.26605224609375,149.7479705810547,1870.06396484375,,
154,420.378173828125,309.91961669921875,150.88369750976562,1789.4542236328125,105.80709838867188,1823.3148193359375,413.91058349609375,447.0313720703125,153.89501953125,1863.31201171875,,
155,431.4276428222656,316.41302490234375,156.46629333496094,1822.3182373046875,,,413.8066711425781,453.2984313964844,157.6903076171875,1861.004638671875,,
156,431.4276428222656,316.41302490234375,160.2351531982422,1845.187255859375,,,413.91058349609375,447.0313720703125,157.31333923339844,1865.4736328125,,
157,431.4276428222656,316.41302490234375,164.7067413330078,1858.62939453125,,,412.463134765625,453.3307800292969,162.50440979003906,1860.9105224609375,,
158,431.4276428222656,316.41302490234375,169.32003784179688,1874.1058349609375,,,411.2186584472656,447.0962829589844,165.50997924804688,1858.61376953125,,
159,431.4276428222656,316.41302490234375,173.09278869628906,1880.6328125,,,411.2186584472656,447.0962829589844,167.72174072265625,1865.2703857421875,,
160,431.4276428222656,316.41302490234375,176.6521453857422,1884.940673828125,113.27313232421875,1945.552001953125,411.2186584472656,447.0962829589844,172.3137969970703,1871.8377685546875,,
161,431.4276428222656,316.41302490234375,180.9879608154297,1889.215087890625,114.14088439941406,1920.51171875,411.2186584472656,447.0962829589844,177.29296875,1873.9503173828125,,
162,431.4276428222656,316.41302490234375,185.12557983398438,1891.3070068359375,115.03060150146484,1894.8375244140625,411.2186584472656,447.0962829589844,181.46522521972656,1876.0738525390625,,
